Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Beguenstigter/Zahlungspflichtiger;Kontonummer;BLZ;Betrag;Waehrung;Info
DE03261272449446690264;28.04.25;28.04.25;KARTENZAHLUNG;SVWZ+MjbYWHsjlI1gIDJ;01664 MCDONALDS;DE84894149335960081685;QMGRBG92CEC;-33,47;EUR;Umsatz gebucht
DE03261272449446690264;16.04.25;16.04.25;KARTENZAHLUNG;SVWZ+cQCS2E8NGDS2nhA;1250-20106 HAMM;DE84818790061919985550;FOSIIBO4NMM;-4,9;EUR;Umsatz gebucht
DE03261272449446690264;17.06.25;17.06.25;KARTENZAHLUNG;SVWZ+s5FfIFnKdin40Mg;ALDI GmbH + Co. KG Berlin;DE72474449180637064712;DHCFXSYARAE;-55,29;EUR;Umsatz gebucht
DE03261272449446690264;11.06.25;11.06.25;KARTENZAHLUNG;SVWZ+5eACgJTHgMbwLsd;ALDI GmbH + Co. KG Berlin;DE22367591272528310078;QIPKATJDNSM;-59,23;EUR;Umsatz gebucht
DE03261272449446690264;03.06.25;03.06.25;KARTENZAHLUNG;SVWZ+aJa3UZZbB9r9BPp;ALDI GmbH + Co. KG Berlin;DE19703276075962558754;XICVRIUUSLP;-56,82;EUR;Umsatz gebucht
DE03261272449446690264;02.06.25;02.06.25;KARTENZAHLUNG;SVWZ+cLS6F22UWPx9dFR;ALDI GmbH + Co. KG Berlin;DE38599975288364085278;BLMCLJAXIHL;-109,89;EUR;Umsatz gebucht
DE03261272449446690264;13.05.25;13.05.25;KARTENZAHLUNG;SVWZ+Rfekd9CAoyz2MVb;ALDI GmbH + Co. KG Berlin;DE33478329879450571415;QJJGWJZWGBX;-69,99;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;KARTENZAHLUNG;SVWZ+6eTNIhkJq2yL91V;ALDI GmbH + Co. KG Berlin;DE81758536343361620073;MJUXABKSEKK;-101,25;EUR;Umsatz gebucht
DE03261272449446690264;24.06.25;24.06.25;FOLGELASTSCHRIFT;FANW+Kj2Wd00ngzP6ZZq;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;DE08196009843004480440;NBMHXFPA;-8,99;EUR;Umsatz gebucht
DE03261272449446690264;10.04.25;10.04.25;FOLGELASTSCHRIFT;BJUP+uCTmgMlTx5g9IXd;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;DE65196907517450593791;MAQMTHGO;-12,99;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;FOLGELASTSCHRIFT;SBRD+06Ld81MkZgk7qDw;AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND;DE58449785026273121097;JAKKQOXN;-14,95;EUR;Umsatz gebucht
DE03261272449446690264;17.06.25;17.06.25;FOLGELASTSCHRIFT;LICN+gSvpBvtAXznRW2e;AMAZON PAYMENTS EUROPE S.C.A.;DE36380010828716621433;ZEQDVDDP;-12,91;EUR;Umsatz gebucht
DE03261272449446690264;17.06.25;17.06.25;FOLGELASTSCHRIFT;YDTT+SlCJCi7tOtNwLaJ;AMAZON PAYMENTS EUROPE S.C.A.;DE58026204208356517543;SMOPNHMY;-16,99;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;FOLGELASTSCHRIFT;SEDW+RVAdCEzhCt86OT0;AMAZON PAYMENTS EUROPE S.C.A.;DE95925084481377405502;CJTOQHNK;-54,66;EUR;Umsatz gebucht
DE03261272449446690264;22.04.25;22.04.25;KARTENZAHLUNG;SVWZ+to6ol7wq5Er1OAt;ARAL AG;DE05790895522226340506;ATXDQNNAERG;-65,05;EUR;Umsatz gebucht
DE03261272449446690264;10.04.25;10.04.25;KARTENZAHLUNG;SVWZ+rMrzR82EkhDaHCQ;ARAL AG;DE57255421566046637465;MBYIMNIFHWG;-11,95;EUR;Umsatz gebucht
DE03261272449446690264;05.06.25;05.06.25;KARTENZAHLUNG;SVWZ+6J18Xw3OHACbX8y;Metzker;DE09198251769906364081;ZSLBOGE3IBE;-14,72;EUR;Umsatz gebucht
DE03261272449446690264;29.04.25;29.04.25;KARTENZAHLUNG;SVWZ+y9DpSeKJn18D1Ks;Metzker;DE25053633020882141531;TBZVXUF3BVY;-41,45;EUR;Umsatz gebucht
DE03261272449446690264;12.05.25;12.05.25;SEPA-ELV-LASTSCHRIFT;EREF+F11ozWSD9FEyaAZ;Baeckerei Brinker GmbH;DE15903653945845218737;XORHJZ62BCT;-2,5;EUR;Umsatz gebucht
DE03261272449446690264;12.05.25;12.05.25;KARTENZAHLUNG;SVWZ+nexRYZA4Rm7aBEs;Blumenladen;DE16585696393882646017;MJLVFAR9YWE;-45,16;EUR;Umsatz gebucht
DE03261272449446690264;23.06.25;23.06.25;FOLGELASTSCHRIFT;EREF+YOPxY5A4JiCVAfS;LIDL SAGT DANKE;DE91291084270608454153;PQKCEQJJUZO;-22,98;EUR;Umsatz gebucht
DE03261272449446690264;06.06.25;06.06.25;FOLGELASTSCHRIFT;EREF+68KPFj1U67ger0U;LIDL SAGT DANKE;DE89574262019227000425;BIZPRNZANJH;-16,48;EUR;Umsatz gebucht
DE03261272449446690264;07.05.25;07.05.25;FOLGELASTSCHRIFT;EREF+nWdPjxXzSPBGJ29;LIDL SAGT DANKE;DE74982140192511705443;CYWBDDXTHUC;-23,47;EUR;Umsatz gebucht
DE03261272449446690264;07.04.25;07.04.25;FOLGELASTSCHRIFT;EREF+2Jl9xUniHPSywFp;LIDL SAGT DANKE;DE62459986485829911349;FSHYDYSGDDS;-24,98;EUR;Umsatz gebucht
DE03261272449446690264;11.06.25;11.06.25;GUTSCHR. UEBERWEISUNG;EREF+9kMQtznjXozePv4;Bundesagentur fur Arbeit -Familienkasse;DE79702423527708895957;BNPHWSV8229;255;EUR;Umsatz gebucht
DE03261272449446690264;12.05.25;12.05.25;GUTSCHR. UEBERWEISUNG;EREF+7CBXqyCJqETV6tf;Bundesagentur fur Arbeit -Familienkasse;DE67285263742690844313;VQGNGEJ6861;255;EUR;Umsatz gebucht
DE03261272449446690264;10.04.25;10.04.25;GUTSCHR. UEBERWEISUNG;EREF+Qck2efFo3DKdim3;Bundesagentur fur Arbeit -Familienkasse;DE59253292621024347987;SOEULDS9715;255;EUR;Umsatz gebucht
DE03261272449446690264;27.06.25;27.06.25;GUTSCHR. UEBERWEISUNG;EREF+IJ45K1eIsMtn4fS;Bundesagentur fur Arbeit-Service-Haus;DE45009901247437983468;VFSHZZT0830;1500;EUR;Umsatz gebucht
DE03261272449446690264;28.05.25;28.05.25;GUTSCHR. UEBERWEISUNG;EREF+huqlxFycR8Zgltk;Bundesagentur fur Arbeit-Service-Haus;DE63156543920610442454;SBGYORD6218;1500;EUR;Umsatz gebucht
DE03261272449446690264;29.04.25;29.04.25;GUTSCHR. UEBERWEISUNG;EREF+cNf7M6YTzw3znDO;Bundesagentur fur Arbeit-Service-Haus;DE27870821742383273836;TKJXDGL0986;1500;EUR;Umsatz gebucht
DE03261272449446690264;16.06.25;16.06.25;KARTENZAHLUNG;SVWZ+y4LgjWpInyHBy7o;DIE NEUE APOTHEKE;DE80385993455804429983;VWOKOBOJZFV;-8,61;EUR;Umsatz gebucht
DE03261272449446690264;04.06.25;04.06.25;KARTENZAHLUNG;SVWZ+N0Szrzm7hleTIDH;DIE NEUE APOTHEKE;DE93800412060610487272;IPFWSZMCWIU;-127,14;EUR;Umsatz gebucht
DE03261272449446690264;11.06.25;11.06.25;ONLINE-UEBERWEISUNG;SVWZ+HCJMWKyomKgPeWo;E.ON Deutschland GmbH;DE01494279577150639986;PWIJFBOSEKF;150,33;EUR;Umsatz gebucht
DE03261272449446690264;06.05.25;06.05.25;ONLINE-UEBERWEISUNG;SVWZ+1ukDRIXnETaxbZz;E.ON Deutschland GmbH;DE08003574432565807871;MDXSJBRRKUY;129,89;EUR;Umsatz gebucht
DE03261272449446690264;13.06.25;13.06.25;FOLGELASTSCHRIFT;EREF+iZVlAwWcK0YzTzy;E-Plus Service GmbH;DE53936863209729467036;NSJCRZDZFQZ;-14,99;EUR;Umsatz gebucht
DE03261272449446690264;15.05.25;15.05.25;FOLGELASTSCHRIFT;EREF+lcbaMyhz4sodfLh;E-Plus Service GmbH;DE10529550395313212258;FSTTJXKLTJP;-14,99;EUR;Umsatz gebucht
DE03261272449446690264;17.04.25;17.04.25;FOLGELASTSCHRIFT;EREF+rJ5P1CBC2QVGpo2;E-Plus Service GmbH;DE88705670516816607482;ATSHAORNEIR;-14,99;EUR;Umsatz gebucht
DE03261272449446690264;15.04.25;15.04.25;KARTENZAHLUNG;SVWZ+rf8mxSTfBd9rZlm;ESSO TANKSTELLE;DE22078657394927614772;YSWOHPATKOA;-65,36;EUR;Umsatz gebucht
DE03261272449446690264;05.05.25;05.05.25;ONLINE-UEBERWEISUNG;SVWZ+6CNLlQbs9voGxg0;Die Kirche;DE98801463148790381119;TXBWLVB8ECE;-200;EUR;Umsatz gebucht
DE03261272449446690264;01.04.25;01.04.25;ONLINE-UEBERWEISUNG;SVWZ+rWitP3kxbRG2UhF;Die Kirche;DE83258961316400009841;LCNRFLP1QUV;-250;EUR;Umsatz gebucht
